UserID,Item1,Item2
1963,987,1436
5951,1080,872
1254,90,192
2738,3003,1945
3527,351,2744
1169,2758,2652
3496,466,423
1684,319,219
2968,1179,3128
657,127,1761
4876,603,2458
5052,2207,1976
4841,575,397
1647,1154,44
727,1934,2000
1160,2172,2944
3851,1300,3062
3551,3430,2827
384,190,3675
3046,944,718
1775,3402,3393
4113,60,2428
3967,1268,3686
156,3062,3024
4840,3693,1380
3912,3334,501
2547,3320,3289
5293,1865,423
4036,842,910
3286,3273,960
3627,3064,1083
1749,515,532
4862,872,863
3563,3028,1614
1814,2975,408
3757,1571,2855
102,1076,771
3497,3272,1784
2479,37,797
5450,1030,1113
5296,2191,408
2853,991,1
5124,751,2161
1367,929,2986
3390,65,1348
4967,1365,3244
1589,2598,2953
2386,562,1879
1374,32,634
4057,71,497
5184,3096,3216
1929,2877,147
1932,2051,1441
4313,619,2100
2761,3412,2080
5190,1256,1906
5408,2035,359
3048,3154,3002
31,2709,1690
496,1835,2108
1021,2040,3547
5541,1734,3591
1226,962,1901
1950,1743,2643
2178,2143,3314
2598,3076,2709
520,2273,2330
3723,1450,1486
3399,3365,351
61,2795,129
4092,2168,1532
2170,2462,1334
3894,2464,3668
5485,1471,2889
1603,19,1361
1866,2281,3400
5703,3700,920
4024,1218,1221
1710,3269,1418
4369,2524,3271
3607,3352,2581
1607,2819,349
595,629,1394
1157,1584,3376
1723,2249,2473
5031,1900,1209
1616,3421,184
3930,2303,1225
3571,133,3622
3605,700,96
5101,440,3457
3333,3210,2394
2822,172,1618
1967,3032,1108
5568,3677,2068
931,2083,3005
3471,178,3099
85,1175,1310
1133,2877,1464
949,988,2834
4723,2744,1243
2650,1584,72
1303,18,447
439,1832,2174
4627,3314,1622
5163,3274,3675
2223,1160,1594
357,2006,1380
129,270,192
4525,3312,2146
2177,1009,3104
5312,3432,1148
4714,3369,734
3874,1892,216
655,1388,1076
4955,2476,349
5698,107,1253
1375,1507,3194
5484,572,60
5492,995,787
3854,3435,3273
1158,2888,182
4296,1560,2769
113,380,2379
4966,184,990
2591,240,1909
361,715,3435
3344,406,987
1413,1140,1392
987,3623,423
4848,472,1611
4655,2287,3504
5844,3598,1660
1393,1239,2018
1872,2824,129
6023,1318,2798
5972,2822,241
694,1961,681
3028,2721,1695
1207,288,2456
2041,3625,3635
2400,830,2446
3989,3158,1708
2323,1612,532
514,510,995
5975,2324,1476
3982,957,1653
3927,1897,2708
2290,1909,959
2071,2993,2304
2447,3555,1596
448,1518,763
1242,3475,1110
